,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2014-01-01,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0043982649685081,0.0979862186391028,0.2064061660469702,0.4403191036865184,0.6191453457483717,0.9008736809661272,0.8279545542370494
2014-01-02,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0004858770173643,0.0926163370879647,0.1484405911678744,0.2708956187912039,0.3492590493834297,0.1635203034973826,0.1224536010400284
2014-01-03,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0008692383315061,0.092627681230493,0.1930917813879171,0.423029944810366,0.6080414994192574,0.8673515281270573,0.8965603057002293
2014-01-04,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0005217839639961,0.0729088856083068,0.2322950499982755,0.4389281958668121,0.6245316510966153,0.7918265360914248,0.8949759479036947
2014-01-05,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0004726658852918,0.0713446213147563,0.1659074127042965,0.3435112899941935,0.5046941088437806,0.8324321167002257,0.8114820742698677
2014-01-06,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.001078301421733,0.0752308755009661,0.233926268287177,0.4554846293759701,0.6158742325875828,0.8858490570080445,0.9634655386504072
2014-01-07,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0011194828326088,0.0635495080863164,0.2157542115790737,0.423861864257482,0.5040354967926446,0.8953564735102497,0.917313967928986
2014-01-08,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00167099659168,0.0895201197804084,0.1668409065728635,0.4577502126067129,0.6114311238857015,0.9045017589987464,0.9434667054231842
2014-01-09,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0196495333732011,0.2163373386681236,0.3519758136898263,0.457317950981471,0.4992975124992246,0.7363710653034886,0.7291942120084729
2014-01-10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0013640426349128,0.0823036469808513,0.1573037926832698,0.3733395416811031,0.5260487102033221,0.861659600910995,0.7971496322166157
2014-01-11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0003433906603072,0.0560419687825005,0.1643597538192442,0.3331852712959191,0.5178716212048126,0.7571847925895314,0.7872788673907795
2014-01-12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0003433906603072,0.0594834662951765,0.1455151089312738,0.2723649805207159,0.4570484265809275,0.8409302625068893,0.8645474019009004
2014-01-13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0018329276944103,0.0662019792031553,0.1569680925206953,0.3790481630319654,0.568980955105729,0.8230568112510456,0.8167747497146074
2014-01-14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0017917462835344,0.0719062686226386,0.1387802078675323,0.3284403751819121,0.4939356634081266,0.811885020173942,0.8114635375450518
2014-01-15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0007113834481886,0.0610579763948367,0.1501571777426677,0.3605888542840363,0.5718329664518924,0.9227146811418308,0.8680358123999032
2014-01-16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0007113834481886,0.0161793857100472,0.0152943561733469,0.028422012429632,0.0426917530938756,0.0095768392296373,0.0003414342894676
2014-01-17,0,0,0,0,0,0,0,0,0,0.0,0.0085150921948535,0.001498252351333,0.0032011130619054,0.0234529402948983,0.0984901267197282,0.1874713570849618,0.2915199119076488,0.5089798546526036,0.6601685390846016
2014-01-18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0450731457796049,0.3648869510989933,0.6038452103792781,0.7519643986761864,0.8122820304564173,0.8916791127666296,0.8969287328954328
2014-01-19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0450731457796049,0.3648869510989933,0.6038452103792781,0.7519643986761864,0.8122820304564173,0.8916791127666296,0.8969287328954328
2014-01-20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0023141205056318,0.1203717244415993,0.24596277616951,0.5311037450296554,0.7321860332253081,0.751676518475424,0.7177356488059935
2014-01-21,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0023141205056318,0.0904534676047059,0.1710012374851865,0.3404610310291896,0.5028438809600236,0.8652011700932943,0.8112753327355182
2014-01-22,0,0,0,0,0,0,0,0,0,0.0,0.0119820447643217,0.0094594611429956,0.0032025032255035,0.0501505051165263,0.217714141326677,0.4082694803909243,0.6310188999629838,0.7763824062522166,0.8055786225205325
2014-01-23,0,0,0,0,0,0,0,0,0,0.0,0.0113569653617339,0.0102923731372689,0.0151387191164089,0.0970953104514586,0.2035456058189197,0.3668614275521505,0.4886916643149145,0.6934222281691885,0.8698624256564663
2014-01-24,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0003481101150077,0.0852169723913274,0.1531847326221565,0.405137391275981,0.6054262679000152,0.8202743716431895,0.8890068151385683
2014-01-25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0022842632781892,0.110919536005937,0.3739395556643398,0.4008349420046637,0.3066075400158029,0.4292263657106758,0.5027312456732529
2014-01-26,0,0,0,0,0,0,0,0,0,0.0,0.0035350591242168,0.0030684356391866,0.0022205182212999,0.079108434164503,0.1625191734947096,0.3215100237307344,0.4404947915601161,0.8611616970473384,0.8685305452766056
2014-01-27,0,0,0,0,0,0,0,0,0,0.1268052621935487,0.0138965105520009,0.0105067466985919,0.004308347579558,0.038052298996503,0.1511147110445753,0.3524248346892477,0.5080543369320374,0.6394080713848413,0.599489211821545
2014-01-28,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00159751784883,0.0562363843167809,0.149630360533224,0.2567861987114839,0.403305509282729,0.6936231391415714,0.7769312639531087
2014-01-29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0028742558568656,0.0777433436146495,0.2231794179281605,0.426058677420335,0.5374070421731924,0.7032478635715477,0.6219425964323574
2014-01-30,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0035305571639491,0.0736792690407275,0.1532002293262017,0.3463831804785676,0.4533609188587031,0.7411567264146129,0.7122060006864046
2014-01-31,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0014183843838908,0.0441594888884725,0.1698546814490086,0.323540129634438,0.4268768995466484,0.6135188218807387,0.7485601880576133
2014-02-01,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0026917107879434,0.0787852549465039,0.2569532881373144,0.3992024148452001,0.4318812832213792,0.611833643959622,0.6120512099415424
2014-02-02,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.000718996665948,0.0548007030194358,0.1360186457619293,0.302684528729041,0.4542975380928168,0.7910436938172148,0.9354580564107696
2014-02-03,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0010279070026364,0.0486431817632828,0.1673274300642855,0.3081340766264789,0.4168676339250804,0.6534298289047286,0.8449843200855607
2014-02-04,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0012070404675757,0.0584806730569383,0.1460814402368648,0.2783277089010246,0.3924347244436239,0.809309086012612,0.8424743031705638
2014-02-05,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0001334679206933,0.0433439753029173,0.1360338908535477,0.3045178921208358,0.5123723081172101,0.6995934355638346,0.6258528204757683
2014-02-06,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0001334679206933,0.0437718801470776,0.1159782030460042,0.2670981073271544,0.3946283939781203,0.7188381640619519,0.8098545498358132
2014-02-07,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.003086559954176,0.0807795128121948,0.1493525005989849,0.3785810998012953,0.5510630506327812,0.8503883067916916,0.7892048928881144
2014-02-08,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0032844093090124,0.0777443425793811,0.2367449337256421,0.3294816970645173,0.4471340824734156,0.7763428937422561,0.8090814718677137
2014-02-09,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0021049356379839,0.0820443791280673,0.1685833349873841,0.3357835513274601,0.5783160606798432,0.864451120006786,0.864090254173972
2014-02-10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0014796964056095,0.0916458494329423,0.3380480658724938,0.3568460458173402,0.3337085880826258,0.5651695142009838,0.4653004093360446
2014-02-11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.000825052841382,0.0555065127487868,0.1307627588742565,0.2583912027850392,0.4572230047044563,0.8443784441163358,0.8718142840059173
2014-02-12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
