date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2000-01-01,77428.5869140625,77428.5869140625,77428.5869140625,77428.5869140625,77428.5869140625,77428.5869140625,76840.4897949219,74225.8794433594,72964.1139026989,72903.9407518525,71954.5283578726,69867.1461070668,69030.5548270089,67535.4904513889,67940.21875,68728.361328125,59873.01171875,59873.01171875,59873.01171875
2000-01-02,77428.5869140625,77428.5869140625,77428.5869140625,77428.5869140625,77428.5869140625,77428.5869140625,76840.4897949219,74225.8794433594,72964.1139026989,72903.9407518525,71954.5283578726,69867.1461070668,69030.5548270089,67535.4904513889,67940.21875,68728.361328125,59873.01171875,59873.01171875,59873.01171875
2000-01-03,77384.4609375,77384.4609375,77384.4609375,77384.4609375,77384.4609375,77384.4609375,76793.7583984375,74167.6708821615,72900.3905539773,72839.9237073132,71886.0976186899,69790.1349764737,68949.7181501116,67449.1052155671,67853.9645182292,68646.5224609375,59761.4975585937,59761.4975585937,59761.4975585937
2000-01-04,77389.8779296875,77389.8779296875,77389.8779296875,77389.8779296875,77389.8779296875,77389.8779296875,76799.7233276367,74175.5267415365,72909.036328125,72848.7646887081,71896.8883338342,69800.3361483487,68961.5394949777,67461.4847366898,67868.6959635417,68655.779296875,59769.1166992188,59769.1166992188,59769.1166992188
2000-01-05,77414.1884765625,77414.1884765625,77414.1884765625,77414.1884765625,77414.1884765625,77414.1884765625,76826.0527954102,74210.5663736979,72948.2195667614,72888.2223240174,71940.1244741586,69849.4720237039,69013.9492327009,67518.4578631366,67925.8108723958,68707.8779296875,59845.4389648438,59845.4389648438,59845.4389648438
2000-01-06,77509.4384765625,77509.4384765625,77509.4384765625,77509.4384765625,77509.4384765625,77509.4384765625,76921.5899536133,74307.9120117188,73046.5575639204,72986.4539606154,72037.7805739183,69950.53585538,69114.579813058,67620.1912254051,68025.2314453125,68811.5380859375,59959.3764648438,59959.3764648438,59959.3764648438
2000-01-07,77496.8525390625,77496.8525390625,77496.8525390625,77496.8525390625,77496.8525390625,77496.8525390625,76908.2721191406,74291.9109375,73029.3899680398,72969.0658122584,72018.0957782452,69930.6546075994,69092.7125279018,67596.0121166088,68000.3408203125,68792.5908203125,59928.6787109375,59928.6787109375,59928.6787109375
2000-01-08,77506.0048828125,77506.0048828125,77506.0048828125,77506.0048828125,77506.0048828125,77506.0048828125,76915.3043334961,74288.8436848958,73021.2973721591,72960.9282276901,72007.8517127404,69910.0563188033,69070.214969308,67568.685655382,67975.8727213542,68765.1064453125,59870.3686523437,59870.3686523437,59870.3686523437
2000-01-09,77457.7509765625,77457.7509765625,77457.7509765625,77457.7509765625,77457.7509765625,77457.7509765625,76869.5867431641,74253.1388997396,72990.1404296875,72930.3532639336,71983.83984375,69889.4120316939,69055.1884347098,67559.4282045718,67969.6383463542,68744.4873046875,59875.5268554688,59875.5268554688,59875.5268554688
2000-01-10,77427.3427734375,77427.3427734375,77427.3427734375,77427.3427734375,77427.3427734375,77427.3427734375,76838.4998901367,74218.5959635417,72953.8309303977,72894.0863502739,71947.3348858173,69849.1059570313,69014.7604631697,67520.0127676505,67928.6624348958,68700.6044921875,59841.98046875,59841.98046875,59841.98046875
2000-01-11,77348.2333984375,77348.2333984375,77348.2333984375,77348.2333984375,77348.2333984375,77348.2333984375,76758.8597045898,74134.5676595052,72867.2287997159,72807.9475978576,71864.3021709736,69755.6271084872,68923.8774274554,67429.2371961806,67842.7526041667,68597.76953125,59732.5205078125,59732.5205078125,59732.5205078125
2000-01-12,77363.1494140625,77363.1494140625,77363.1494140625,77363.1494140625,77363.1494140625,77363.1494140625,76772.2587524414,74146.3246256511,72879.3409446023,72818.6022168976,71862.5384990986,69770.638449929,68928.4607142857,67429.5629340278,67828.7571614583,68630.173828125,59765.9375,59765.9375,59765.9375
