,min_value,max_value,min,max,mean,area,AreaBelowMElev
0,969,1000,969,999,987.1010101,93656.05166,129019.3929
1,1000,1250,1000,1249,1169.254884,7817451.844,3348159.593
2,1250,1500,1250,1499,1390.894402,25947512.21,20024785.26
3,1500,1750,1500,1749,1630.681601,42933734.05,54746715.1
4,1750,2000,1750,1999,1875.100206,52580247.23,103002471.9
5,2000,2250,2000,2249,2129.960622,55176852.5,156125318.9
6,2250,2500,2250,2499,2379.112403,82335434.11,224892153.6
7,2500,2750,2500,2749,2614.722449,67650629.57,302006957.7
8,2750,3000,2750,2999,2873.715675,49832673.84,359546303.1
9,3000,3250,3000,3249,3123.91272,46135550.55,407340810.1
10,3250,3500,3250,3499,3381.080448,57196155.03,458243594.8
11,3500,3750,3500,3749,3620.208322,61070622.87,518606638.2
12,3750,4000,3750,3999,3866.445897,38664292.95,568596750.3
13,4000,4250,4000,4249,4111.64315,22689564.57,599166765.1
14,4250,4500,4250,4499,4367.177636,12572594.2,616509025.2
15,4500,4750,4500,4749,4614.783936,8232289.368,626930966.5
16,4750,5000,4750,4999,4849.22455,4300730.503,633273342.2
17,5000,5250,5000,5249,5107.701856,1530723.684,636034355.4
18,5250,5442,5250,5419,5311.04794,438347.3703,636883379.8
