,min_value,max_value,min,max,mean,area,AreaBelowMElev
0,873.0,1000.0,873.0,999.0,957.9306180988218,10204243.68077483,4619478.887663649
1,1000.0,1250.0,1000.0,1249.0,1142.058617713202,54208963.21556992,35193712.07719055
2,1250.0,1500.0,1250.0,1499.0,1382.7739837969877,106779048.69909577,116052722.89785334
3,1500.0,1750.0,1500.0,1749.0,1630.6347338953349,147827175.29630786,242892245.138323
4,1750.0,2000.0,1750.0,1999.0,1878.2434049034396,190283443.21819133,412667690.22096735
5,2000.0,2250.0,2000.0,2249.0,2128.456245599558,241358554.7566544,627899644.1086984
6,2250.0,2500.0,2250.0,2499.0,2380.609023963131,306620055.670114,898469958.8951851
7,2500.0,2750.0,2500.0,2749.0,2627.80840747367,386135071.50862217,1248955050.546702
8,2750.0,3000.0,2750.0,2999.0,2880.362182870205,461362544.67533374,1666533275.107518
9,3000.0,3250.0,3000.0,3249.0,3126.3025525104895,549502777.1961347,2175636016.149801
10,3250.0,3500.0,3250.0,3499.0,3374.2661098060917,598077799.778959,2752308012.757073
11,3500.0,3750.0,3500.0,3749.0,3621.500695312981,538031056.3272594,3323073271.9250016
12,3750.0,4000.0,3750.0,3999.0,3867.427348321661,432279969.7336509,3812665361.239569
13,4000.0,4250.0,4000.0,4249.0,4116.615596836491,292857041.1971356,4173200178.0393715
14,4250.0,4500.0,4250.0,4499.0,4366.252361149111,199702137.72765216,4418342439.18851
15,4500.0,4750.0,4500.0,4749.0,4615.018060096159,131896044.88467233,4583248350.275503
16,4750.0,5000.0,4750.0,4999.0,4862.923933680742,81148063.09377752,4689421042.203916
17,5000.0,5250.0,5000.0,5249.0,5118.793260368484,50070036.050369486,4754006783.779903
18,5250.0,5500.0,5250.0,5499.0,5363.380073463986,34192476.135283254,4796157989.7840805
19,5500.0,5750.0,5500.0,5749.0,5602.593117313891,19941533.52738839,4823112187.133161
20,5750.0,6000.0,5750.0,5999.0,5842.1931510286,6215904.554173047,4835846647.208506
21,6000.0,6250.0,6000.0,6249.0,6098.712760966456,1327893.2567911437,4837769919.580962
22,6250.0,6500.0,6250.0,6499.0,6363.141509433963,729001.95866795,4839503002.836985
23,6500.0,6572.0,6500.0,6572.0,6523.46582278481,121038.85740784109,4840553778.838505
