date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2000-01-01,1.11717607489637E-05,1.11717607489637E-05,9.11965661767399E-06,8.02447128573173E-06,7.52073736153211E-06,7.31640474713818E-06,7.60497128586242E-06,7.37194353196108E-06,7.92974403550902E-06,8.01059008293328E-06,7.98947131615554E-06,8.28395937440996E-06,7.60468833217451E-06,5.70517344920305E-06,6.51925259287367E-06,5.55597132745334E-06,5.55597132745334E-06,5.55597132745334E-06,5.55597132745334E-06
2000-01-02,1.11717607489637E-05,1.11717607489637E-05,9.11965661767399E-06,8.02447128573173E-06,7.52073736153211E-06,7.31640474713818E-06,7.60497128586242E-06,7.37194353196108E-06,7.92974403550902E-06,8.01059008293328E-06,7.98947131615554E-06,8.28395937440996E-06,7.60468833217451E-06,5.70517344920305E-06,6.51925259287367E-06,5.55597132745334E-06,5.55597132745334E-06,5.55597132745334E-06,5.55597132745334E-06
2000-01-03,1.17081692783478E-05,1.17081692783478E-05,1.02462308085439E-05,9.43048515428776E-06,9.10305238938579E-06,9.01971698889915E-06,9.29306844682287E-06,9.11485952661851E-06,9.75439421629496E-06,9.81106136979163E-06,9.79785178083148E-06,1.01768157790559E-05,9.51197776735878E-06,7.8113467635192E-06,8.72042258315275E-06,7.68448505539254E-06,7.68448505539254E-06,7.68448505539254E-06,7.68448505539254E-06
2000-01-04,1.28554995559159E-05,1.28554995559159E-05,1.20006956842693E-05,1.14337976254812E-05,1.1295411691517E-05,1.13845422897002E-05,1.18355476498285E-05,1.16682456725227E-05,1.25265855265091E-05,1.25839007559949E-05,1.26431642894052E-05,1.32431409260259E-05,1.25689813809444E-05,1.07243543496641E-05,1.17807872133113E-05,1.05456309427154E-05,1.05456309427154E-05,1.05456309427154E-05,1.05456309427154E-05
2000-01-05,1.31925894018237E-05,1.31925894018237E-05,1.23461285467214E-05,1.17986860892927E-05,1.14482182212494E-05,1.14119152196014E-05,1.17217693901731E-05,1.15407573050141E-05,1.22779891068541E-05,1.23379553843161E-05,1.2315552728315E-05,1.27426734632607E-05,1.19920242128008E-05,9.8635439468474E-06,1.09314463045962E-05,9.67285245678795E-06,9.67285245678795E-06,9.67285245678795E-06,9.67285245678795E-06
2000-01-06,1.34800284507607E-05,1.34800284507607E-05,1.25225135752814E-05,1.19180063074846E-05,1.15349990058298E-05,1.14716427352659E-05,1.1650172933552E-05,1.15227658784369E-05,1.22515592864726E-05,1.22998730466261E-05,1.22368895475612E-05,1.25994766559883E-05,1.18517791305268E-05,9.85893343761532E-06,1.0995735336472E-05,9.68792279820718E-06,9.68792279820718E-06,9.68792279820718E-06,9.68792279820718E-06
2000-01-07,1.25546312258064E-05,1.25546312258064E-05,1.16717988999486E-05,1.1123104956899E-05,1.06938125614154E-05,1.06039839909297E-05,1.07480216582682E-05,1.06260192441888E-05,1.12945595181848E-05,1.13397794691272E-05,1.12611383262523E-05,1.15651707409234E-05,1.08392662969431E-05,8.79250926772706E-06,9.88160498582857E-06,8.60660502155497E-06,8.60660502155497E-06,8.60660502155497E-06,8.60660502155497E-06
2000-01-08,1.48631578006667E-05,1.48631578006667E-05,1.45639745427722E-05,1.43192762996591E-05,1.38597952841018E-05,1.37574516677368E-05,1.37976929172131E-05,1.37218487434092E-05,1.42501625935603E-05,1.42879455931231E-05,1.41729595700705E-05,1.4350615845998E-05,1.36963766830113E-05,1.17123880007763E-05,1.26995887548276E-05,1.15230263020294E-05,1.15230263020294E-05,1.15230263020294E-05,1.15230263020294E-05
2000-01-09,1.43762485110774E-05,1.43762485110774E-05,1.42298160956524E-05,1.40542400477273E-05,1.34447429560838E-05,1.32351728288931E-05,1.32144066659142E-05,1.3023675990716E-05,1.34221793944727E-05,1.34623538742524E-05,1.32868399729584E-05,1.33272552261814E-05,1.25357775565819E-05,1.02577575581621E-05,1.11862815366237E-05,1.00894064871682E-05,1.00894064871682E-05,1.00894064871682E-05,1.00894064871682E-05
2000-01-10,1.34087570185895E-05,1.34087570185895E-05,1.30117685239126E-05,1.2721261286354E-05,1.21060522573616E-05,1.18942142909342E-05,1.19522613648826E-05,1.17861151867189E-05,1.21999053008246E-05,1.22656677629428E-05,1.21235447010974E-05,1.22160226956148E-05,1.14502352136715E-05,9.20510357496688E-06,1.01224905630914E-05,9.03967806209494E-06,9.03967806209494E-06,9.03967806209494E-06,9.03967806209494E-06
2000-01-11,1.43104452293766E-05,1.43104452293766E-05,1.41544901791903E-05,1.39723005305233E-05,1.32816441351787E-05,1.30502824381536E-05,1.3085800583165E-05,1.29396882420868E-05,1.33762323848817E-05,1.34584523161481E-05,1.3285217227974E-05,1.33739151067799E-05,1.25025872290932E-05,1.00262208382282E-05,1.10861443509691E-05,9.86505062883225E-06,9.86505062883225E-06,9.86505062883225E-06,9.86505062883225E-06
