,min_value,max_value,min,max,mean,area,AreaBelowMElev
0,724,750,724,749,741.5782289,460039.0881,658621.3605
1,750,1000,750,999,909.7369419,47202653.36,21306235.88
2,1000,1250,1000,1249,1128.484678,115347907,105742379.8
3,1250,1500,1250,1499,1381.099166,123722049.4,223536780.4
4,1500,1750,1500,1749,1623.365678,157477008.4,366506542.9
5,1750,2000,1750,1999,1876.593004,152660528.7,519512327.5
6,2000,2250,2000,2249,2128.982915,183572793.4,685800906.7
7,2250,2500,2250,2499,2378.012191,208407737.8,882456455
8,2500,2750,2500,2749,2626.556044,239958292.8,1107499433
9,2750,3000,2750,2999,2877.31494,272742722.2,1363088369
10,3000,3250,3000,3249,3123.049118,293649562,1648651591
11,3250,3500,3250,3499,3370.602468,252847869.9,1922840566
12,3500,3750,3500,3749,3616.299292,190731450.3,2146407181
13,3750,4000,3750,3999,3864.370898,119680566.1,2300294414
14,4000,4250,4000,4249,4105.684647,59443746.25,2390443743
15,4250,4500,4250,4499,4350.523922,22882578.53,2430277817
16,4500,4750,4500,4749,4607.22463,7578267.664,2444771350
17,4750,5000,4750,4999,4862.450111,3725493.785,2450259637
18,5000,5185,5000,5185,5047.461339,1014670.669,2451991710
