date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2000-01-01,5.94347132931716E-06,5.94347132931716E-06,5.94347132931716E-06,6.17983496004564E-06,6.34791576411923E-06,6.60010396761176E-06,6.75597131567273E-06,7.91316826260499E-06,7.5484713065066E-06,6.77141250470052E-06,6.20372774580329E-06,5.39103232403327E-06,3.86412355037118E-06,4.64847135816626E-06,3.41847138685125E-06,3.41847138685125E-06,3.41847138685125E-06,3.41847138685125E-06,3.41847138685125E-06
2000-01-02,5.94347132931716E-06,5.94347132931716E-06,5.94347132931716E-06,6.17983496004564E-06,6.34791576411923E-06,6.60010396761176E-06,6.75597131567273E-06,7.91316826260499E-06,7.5484713065066E-06,6.77141250470052E-06,6.20372774580329E-06,5.39103232403327E-06,3.86412355037118E-06,4.64847135816626E-06,3.41847138685125E-06,3.41847138685125E-06,3.41847138685125E-06,3.41847138685125E-06,3.41847138685125E-06
2000-01-03,7.77198508217225E-06,7.77198508217225E-06,7.77198508217225E-06,8.10266689267213E-06,8.33781840236093E-06,8.69035240997136E-06,8.90685349101037E-06,1.05242577715768E-05,1.01899850614018E-05,9.38117626018077E-06,8.92871584276177E-06,8.2421070176127E-06,6.88991984748347E-06,7.64748505361013E-06,6.45948507127514E-06,6.45948507127514E-06,6.45948507127514E-06,6.45948507127514E-06,6.45948507127514E-06
2000-01-04,8.35813090560578E-06,8.35813090560578E-06,8.35813090560578E-06,8.89563089339679E-06,9.27785310693707E-06,9.84614108000299E-06,1.01722756277704E-05,1.27755550965699E-05,1.23526308988176E-05,1.1251513311011E-05,1.0829605321451E-05,1.01181919553128E-05,8.60976146431431E-06,9.55863098624832E-06,8.07063105412453E-06,8.07063105412453E-06,8.07063105412453E-06,8.07063105412453E-06,8.07063105412453E-06
2000-01-05,8.58535242898029E-06,8.58535242898029E-06,8.58535242898029E-06,8.99557970965051E-06,9.28729688701601E-06,9.70499531173253E-06,9.86660247912964E-06,1.17664131433232E-05,1.11758525639516E-05,9.99564669873825E-06,9.44272436917059E-06,8.56431598463229E-06,6.77502648363647E-06,7.83485256150129E-06,6.17285257575873E-06,6.17285257575873E-06,6.17285257575873E-06,6.17285257575873E-06,6.17285257575873E-06
2000-01-06,9.36292285658169E-06,9.36292285658169E-06,9.36292285658169E-06,9.88678652708524E-06,1.02593118038878E-05,1.080118825343E-05,1.10537124210789E-05,1.35258018800564E-05,1.29309230514707E-05,1.16313053319547E-05,1.10811922230078E-05,1.01815205535698E-05,8.31183600702445E-06,9.4539230085644E-06,7.66292293796766E-06,7.66292293796766E-06,7.66292293796766E-06,7.66292293796766E-06,7.66292293796766E-06
2000-01-07,9.11910509415748E-06,9.11910509415748E-06,9.11910509415748E-06,9.57933234763624E-06,9.90660506122115E-06,1.03736968758405E-05,1.05467365967633E-05,1.26698624907645E-05,1.1994104914379E-05,1.06569725850266E-05,1.00380152102931E-05,9.05142205020755E-06,7.03703980373961E-06,8.23460499788098E-06,6.3566050343411E-06,6.3566050343411E-06,6.3566050343411E-06,6.3566050343411E-06,6.3566050343411E-06
2000-01-08,1.06355264293256E-05,1.06355264293256E-05,1.06355264293256E-05,1.10934809808586E-05,1.14191375508376E-05,1.18587407284826E-05,1.18937501122293E-05,1.38696173481655E-05,1.29790264054463E-05,1.14333204824725E-05,1.0842257133539E-05,9.84497757489236E-06,7.72954806463936E-06,9.06102635411799E-06,6.97302630925378E-06,6.97302630925378E-06,6.97302630925378E-06,6.97302630925378E-06,6.97302630925378E-06
2000-01-09,1.01644066887729E-05,1.01644066887729E-05,1.01644066887729E-05,1.04996339328781E-05,1.07380177509084E-05,1.10493555841426E-05,1.10180249810816E-05,1.24075882125095E-05,1.15949063723519E-05,1.0263671092215E-05,9.70703461634096E-06,8.79336985734681E-06,6.88994997356867E-06,8.05690647496249E-06,6.22690650686764E-06,6.22690650686764E-06,6.22690650686764E-06,6.22690650686764E-06,6.22690650686764E-06
2000-01-10,9.22717796925099E-06,9.22717796925099E-06,9.22717796925099E-06,9.5453598111755E-06,9.77162245432181E-06,1.00659535408802E-05,1.00298096005845E-05,1.13423296284054E-05,1.05701780722711E-05,9.31136918690858E-06,8.80217802472608E-06,7.95797071141115E-06,6.18750409579459E-06,7.28367804597951E-06,5.56467798773497E-06,5.56467798773497E-06,5.56467798773497E-06,5.56467798773497E-06,5.56467798773497E-06
