,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2000-01-02,5.94347132931716e-06,5.94347132931716e-06,5.94347132931716e-06,6.17983496004564e-06,6.34791576411923e-06,6.60010396761176e-06,6.75597131567273e-06,7.91316826260499e-06,7.5484713065066e-06,6.77141250470052e-06,6.20372774580329e-06,5.39103232403327e-06,3.86412355037118e-06,4.64847135816626e-06,3.41847138685125e-06,3.41847138685125e-06,3.41847138685125e-06,3.41847138685125e-06,3.41847138685125e-06
2000-01-03,7.77198508217225e-06,7.77198508217225e-06,7.77198508217225e-06,8.10266689267213e-06,8.33781840236093e-06,8.69035240997136e-06,8.90685349101037e-06,1.05242577715768e-05,1.01899850614018e-05,9.38117626018077e-06,8.92871584276177e-06,8.2421070176127e-06,6.88991984748347e-06,7.64748505361013e-06,6.45948507127514e-06,6.45948507127514e-06,6.45948507127514e-06,6.45948507127514e-06,6.45948507127514e-06
2000-01-04,8.35813090560578e-06,8.35813090560578e-06,8.35813090560578e-06,8.89563089339679e-06,9.27785310693707e-06,9.84614108000299e-06,1.01722756277704e-05,1.27755550965699e-05,1.23526308988176e-05,1.1251513311011e-05,1.0829605321451e-05,1.01181919553128e-05,8.60976146431431e-06,9.55863098624832e-06,8.07063105412453e-06,8.07063105412453e-06,8.07063105412453e-06,8.07063105412453e-06,8.07063105412453e-06
2000-01-05,8.58535242898029e-06,8.58535242898029e-06,8.58535242898029e-06,8.99557970965051e-06,9.28729688701601e-06,9.70499531173253e-06,9.86660247912964e-06,1.17664131433232e-05,1.11758525639516e-05,9.99564669873825e-06,9.44272436917059e-06,8.56431598463229e-06,6.77502648363647e-06,7.83485256150129e-06,6.17285257575873e-06,6.17285257575873e-06,6.17285257575873e-06,6.17285257575873e-06,6.17285257575873e-06
2000-01-06,9.36292285658169e-06,9.36292285658169e-06,9.36292285658169e-06,9.88678652708524e-06,1.02593118038878e-05,1.080118825343e-05,1.10537124210789e-05,1.35258018800564e-05,1.29309230514707e-05,1.16313053319547e-05,1.10811922230078e-05,1.01815205535698e-05,8.31183600702445e-06,9.4539230085644e-06,7.66292293796766e-06,7.66292293796766e-06,7.66292293796766e-06,7.66292293796766e-06,7.66292293796766e-06
2000-01-07,9.11910509415748e-06,9.11910509415748e-06,9.11910509415748e-06,9.57933234763624e-06,9.90660506122115e-06,1.03736968758405e-05,1.05467365967633e-05,1.26698624907645e-05,1.1994104914379e-05,1.06569725850266e-05,1.00380152102931e-05,9.05142205020755e-06,7.03703980373961e-06,8.23460499788098e-06,6.3566050343411e-06,6.3566050343411e-06,6.3566050343411e-06,6.3566050343411e-06,6.3566050343411e-06
2000-01-08,1.06355264293256e-05,1.06355264293256e-05,1.06355264293256e-05,1.10934809808586e-05,1.14191375508376e-05,1.18587407284826e-05,1.18937501122293e-05,1.38696173481655e-05,1.29790264054463e-05,1.14333204824725e-05,1.0842257133539e-05,9.84497757489236e-06,7.72954806463936e-06,9.06102635411799e-06,6.97302630925378e-06,6.97302630925378e-06,6.97302630925378e-06,6.97302630925378e-06,6.97302630925378e-06
2000-01-09,1.01644066887729e-05,1.01644066887729e-05,1.01644066887729e-05,1.04996339328781e-05,1.07380177509084e-05,1.10493555841426e-05,1.10180249810816e-05,1.24075882125095e-05,1.15949063723519e-05,1.0263671092215e-05,9.70703461634096e-06,8.79336985734681e-06,6.88994997356867e-06,8.05690647496249e-06,6.22690650686764e-06,6.22690650686764e-06,6.22690650686764e-06,6.22690650686764e-06,6.22690650686764e-06
2000-01-10,9.22717796925099e-06,9.22717796925099e-06,9.22717796925099e-06,9.5453598111755e-06,9.77162245432181e-06,1.00659535408802e-05,1.00298096005845e-05,1.13423296284054e-05,1.05701780722711e-05,9.31136918690858e-06,8.80217802472608e-06,7.95797071141115e-06,6.18750409579459e-06,7.28367804597951e-06,5.56467798773497e-06,5.56467798773497e-06,5.56467798773497e-06,5.56467798773497e-06,5.56467798773497e-06
2000-01-11,9.86505046185471e-06,9.86505046185471e-06,9.86505046185471e-06,1.02161868466314e-05,1.04658838313614e-05,1.07829076651398e-05,1.07005768612673e-05,1.21067173248712e-05,1.12100506532897e-05,9.79041826579753e-06,9.28011469370223e-06,8.40163591814134e-06,6.51450700209342e-06,7.72355051623208e-06,5.82755045996919e-06,5.82755045996919e-06,5.82755045996919e-06,5.82755045996919e-06,5.82755045996919e-06
2000-01-12,8.72208464386404e-06,8.72208464386404e-06,8.72208464386404e-06,9.06867557081238e-06,9.31514022997564e-06,9.64274796174601e-06,9.64149261911392e-06,1.11092060400393e-05,1.036958485372e-05,9.12245251093262e-06,8.63907205046078e-06,7.82696293000748e-06,6.1090414223733e-06,7.18608489052031e-06,5.49708490638068e-06,5.49708490638068e-06,5.49708490638068e-06,5.49708490638068e-06,5.49708490638068e-06
2000-01-13,7.77388039807647e-06,7.77388039807647e-06,7.77388039807647e-06,8.0193349367102e-06,8.1938803864053e-06,8.42081915403023e-06,8.39230142334277e-06,9.40418336431942e-06,8.78288033675289e-06,7.77204211472087e-06,7.33221369550381e-06,6.61869745205028e-06,5.1439891048171e-06,6.03738039473001e-06,4.63638041736658e-06,4.63638041736658e-06,4.63638041736658e-06,4.63638041736658e-06,4.63638041736658e-06
2000-01-14,7.36586946459283e-06,7.36586946459283e-06,7.36586946459283e-06,7.6033694553375e-06,7.77225833764482e-06,7.99061433684524e-06,7.9563299591263e-06,8.92874817540443e-06,8.35736939137632e-06,7.43241352301324e-06,7.08542068959781e-06,6.49635721780358e-06,5.24195638316472e-06,6.03586941593903e-06,4.79086943272478e-06,4.79086943272478e-06,4.79086943272478e-06,4.79086943272478e-06,4.79086943272478e-06
2000-01-15,6.47155712840686e-06,6.47155712840686e-06,6.47155712840686e-06,6.72382983488908e-06,6.90322375949866e-06,7.14017951746284e-06,7.13109651665664e-06,8.19125389911637e-06,7.67505691868564e-06,6.80979222480841e-06,6.52668514187728e-06,6.02338621447638e-06,4.92101348686694e-06,5.64605695416276e-06,4.50905697135795e-06,4.50905697135795e-06,4.50905697135795e-06,4.50905697135795e-06,4.50905697135795e-06
2000-01-16,7.05522115396207e-06,7.05522115396207e-06,7.05522115396207e-06,7.32453931623861e-06,7.51605445385748e-06,7.76772109810393e-06,7.75094476087415e-06,8.8756755179168e-06,8.34672096686972e-06,7.46441215932905e-06,7.22733637358849e-06,6.77351368221657e-06,5.73782971682506e-06,6.45522100739981e-06,5.33022102899849e-06,5.33022102899849e-06,5.33022102899849e-06,5.33022102899849e-06,5.33022102899849e-06
2000-01-17,8.43463728017468e-06,8.43463728017468e-06,8.43463728017468e-06,8.66190999976818e-06,8.82352615592355e-06,9.04075970114537e-06,9.05305826336937e-06,1.00285765308234e-05,9.54463709220476e-06,8.71625470952483e-06,8.35899606435384e-06,7.77792979850121e-06,6.57485453281481e-06,7.30563715059418e-06,6.15963713634926e-06,6.15963713634926e-06,6.15963713634926e-06,6.15963713634926e-06,6.15963713634926e-06
2000-01-18,7.77986829447741e-06,7.77986829447741e-06,7.77986829447741e-06,8.04123193793254e-06,8.22709052883397e-06,8.47706219233851e-06,8.4920393754155e-06,9.6147168456615e-06,9.10036836174299e-06,8.213324236362e-06,7.88050937463079e-06,7.31553907333436e-06,6.11247702316266e-06,6.87386833504888e-06,5.67986832322731e-06,5.67986832322731e-06,5.67986832322731e-06,5.67986832322731e-06,5.67986832322731e-06
2000-01-19,8.43772660275022e-06,8.43772660275022e-06,8.43772660275022e-06,8.64454476809132e-06,8.79161546344499e-06,8.96961430655387e-06,8.87358177365253e-06,9.6543930664888e-06,8.99522636103711e-06,7.99728516580742e-06,7.59926481755166e-06,6.93650685577626e-06,5.54261768246163e-06,6.40922638538655e-06,5.05022637398156e-06,5.05022637398156e-06,5.05022637398156e-06,5.05022637398156e-06,5.05022637398156e-06
2000-01-20,8.1007139236533e-06,8.1007139236533e-06,8.1007139236533e-06,8.26775937280321e-06,8.38654724775425e-06,8.51729553882511e-06,8.36880599430183e-06,8.92874415211767e-06,8.20121383696915e-06,7.15439030580669e-06,6.68821385283116e-06,5.93699436054555e-06,4.39147477122689e-06,5.32121389539952e-06,3.86321390521971e-06,3.86321390521971e-06,3.86321390521971e-06,3.86321390521971e-06,3.86321390521971e-06
2000-01-21,7.83398319015305e-06,7.83398319015305e-06,7.83398319015305e-06,7.96580137964818e-06,8.05953875884471e-06,8.15592198773281e-06,8.00174637922468e-06,8.40671053567528e-06,7.6919832778799e-06,6.67920387923339e-06,6.1615474133229e-06,5.35806870204408e-06,3.74865729244418e-06,4.67648336183402e-06,3.22148338938177e-06,3.22148338938177e-06,3.22148338938177e-06,3.22148338938177e-06,3.22148338938177e-06
2000-01-22,8.12275530392981e-06,8.12275530392981e-06,8.12275530392981e-06,8.21252802877966e-06,8.27636641089511e-06,8.3265818251239e-06,8.13755790985445e-06,8.32957343363612e-06,7.61125523212058e-06,6.6356228639401e-06,6.11089625069693e-06,5.30690157280047e-06,3.71188566924853e-06,4.61675524164207e-06,3.19775523038857e-06,3.19775523038857e-06,3.19775523038857e-06,3.19775523038857e-06,3.19775523038857e-06
2000-01-23,6.4855320331958e-06,6.4855320331958e-06,6.4855320331958e-06,6.57075933219176e-06,6.63136541147777e-06,6.68502190239094e-06,6.53816370438084e-06,6.75295649809834e-06,6.1745322544482e-06,5.38075281664163e-06,4.97559633781354e-06,4.34650784753834e-06,3.08607570918285e-06,3.81303224621377e-06,2.67303222223347e-06,2.67303222223347e-06,2.67303222223347e-06,2.67303222223347e-06,2.67303222223347e-06
2000-01-24,6.16810910614163e-06,6.16810910614163e-06,6.16810910614163e-06,6.18970002416478e-06,6.20505356587013e-06,6.19081321568189e-06,6.00199073573723e-06,5.90523042944286e-06,5.36360923927504e-06,4.68244748569651e-06,4.3126605250498e-06,3.74737752944377e-06,2.62789184071381e-06,3.2611092273882e-06,2.26810923464882e-06,2.26810923464882e-06,2.26810923464882e-06,2.26810923464882e-06,2.26810923464882e-06
2000-01-25,6.09167921794551e-06,6.09167921794551e-06,6.09167921794551e-06,6.14849739574455e-06,6.18890143329054e-06,6.21591389973469e-06,6.07029761923172e-06,6.16592159773153e-06,5.68817917404374e-06,5.05859094777334e-06,4.76603817248589e-06,4.30021580267428e-06,3.34983142345697e-06,3.9141792368369e-06,3.02917925676383e-06,3.02917925676383e-06,3.02917925676383e-06,3.02917925676383e-06,3.02917925676383e-06
2000-01-26,5.45782398830852e-06,5.45782398830852e-06,5.45782398830852e-06,5.50782400213476e-06,5.5433795675223e-06,5.5718546382288e-06,5.46933718899374e-06,5.57903621601134e-06,5.24432408525399e-06,4.80120641502758e-06,4.62513175665144e-06,4.33160454999377e-06,3.71380231039384e-06,4.0983240647563e-06,3.49532404086972e-06,3.49532404086972e-06,3.49532404086972e-06,3.49532404086972e-06,3.49532404086972e-06
2000-01-27,5.26873665762651e-06,5.26873665762651e-06,5.26873665762651e-06,5.44714575893708e-06,5.57401445320238e-06,5.74526729842407e-06,5.75886827011561e-06,6.52858522507607e-06,6.24273673338394e-06,5.73675142130228e-06,5.62354440639195e-06,5.3894684161791e-06,4.83449756332092e-06,5.23623670687812e-06,4.60623668629978e-06,4.60623668629978e-06,4.60623668629978e-06,4.60623668629978e-06,4.60623668629978e-06
2000-01-28,5.68153879498823e-06,5.68153879498823e-06,5.68153879498823e-06,5.88040244506064e-06,6.02181659622324e-06,6.21521230128189e-06,6.24403883451775e-06,7.11562980432684e-06,6.85153888213108e-06,6.36058297336503e-06,6.29467988452403e-06,6.11812422296059e-06,5.65490840889869e-06,6.02603886079578e-06,5.44403883395717e-06,5.44403883395717e-06,5.44403883395717e-06,5.44403883395717e-06,5.44403883395717e-06
