date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2000-01-02,1.2343471190945365e-05,1.2609775568374399e-05,1.2337915725834496e-05,1.2131350073775764e-05,1.1306647023810624e-05,1.110769548591469e-05,1.1264536135539795e-05,1.085505673684083e-05,1.0477638058479975e-05,9.784833170660322e-06,9.538129497192464e-06,9.09513805022281e-06,8.902183509893335e-06,9.021075586683008e-06,8.664304748625302e-06,9.343471319311902e-06,9.343471319311902e-06,
2000-01-03,1.1646985200286508e-05,1.169644164880755e-05,1.1563453334756125e-05,1.1500204798043146e-05,1.1200532405553076e-05,1.11176747337489e-05,1.1188073059471476e-05,1.1026355002833613e-05,1.0876151742612215e-05,1.0582757422354909e-05,1.0426685908623571e-05,1.0091360055971185e-05,9.911378989293306e-06,9.918860049751288e-06,9.629485019028531e-06,1.0496985041186235e-05,1.0496985041186235e-05,
2000-01-04,1.3558130930846346e-05,1.3736935282113535e-05,1.3929361112030755e-05,1.3903774896820405e-05,1.3981779624629866e-05,1.3931191291074526e-05,1.385269112338013e-05,1.3972460226272034e-05,1.396421428798552e-05,1.3712297577009065e-05,1.3570630903474073e-05,1.3330630930615447e-05,1.3203585496918977e-05,1.3338860166337934e-05,1.3078131002923025e-05,1.3395630787726986e-05,1.3395630787726986e-05,
2000-01-05,1.4235352686853275e-05,1.4376113451829577e-05,1.439130492185216e-05,1.4330049547038296e-05,1.415173777611026e-05,1.4044619888409214e-05,1.4050746177745124e-05,1.4003137218622202e-05,1.3883936022457042e-05,1.3508421859761142e-05,1.3324455315601204e-05,1.2985352687167052e-05,1.2816792046909212e-05,1.2933790114170545e-05,1.262035260367611e-05,1.3185352869982125e-05,1.3185352869982125e-05,
2000-01-06,1.423792298993476e-05,1.4443357691146481e-05,1.432879581973194e-05,1.4198150083081261e-05,1.3718497056606486e-05,1.3572189942211394e-05,1.3646950524238411e-05,1.343182511513211e-05,1.31992559730539e-05,1.2707638073134313e-05,1.2533969633690285e-05,1.224104762324411e-05,1.2123149898691352e-05,1.2256672610178043e-05,1.2020422618282585e-05,1.2300422639555109e-05,1.2300422639555109e-05,
2000-01-07,1.3656604984646492e-05,1.4059865895146487e-05,1.4035374848599674e-05,1.3839370134192993e-05,1.325930762221419e-05,1.310423429256369e-05,1.315012351066758e-05,1.2935060234800714e-05,1.2664604949795454e-05,1.2043088759070528e-05,1.1858100763744844e-05,1.1573063324732401e-05,1.1489559509217626e-05,1.1714417385159473e-05,1.1518271571731022e-05,1.1431605230427522e-05,1.1431605230427522e-05,
2000-01-08,1.633552628277357e-05,1.6681721967376255e-05,1.67089390184549e-05,1.655522327603125e-05,1.6122181681400954e-05,1.5939621110403782e-05,1.5957169801155216e-05,1.582587180021109e-05,1.5597442932175912e-05,1.4985018133653446e-05,1.4798346788592244e-05,1.4559276281052765e-05,1.4496511147743868e-05,1.4769380476546228e-05,1.4565526360380924e-05,1.4260526256748562e-05,1.4260526256748562e-05,
2000-01-09,1.7264406494632567e-05,1.7466036903388357e-05,1.719516045848231e-05,1.7019141357409215e-05,1.6263561978900196e-05,1.601914794284884e-05,1.6172161181113206e-05,1.5797028538715527e-05,1.5429406606510083e-05,1.4709426937581779e-05,1.4454791225380488e-05,1.3995864943202226e-05,1.3821603583134372e-05,1.4005552467703335e-05,1.3686073303157778e-05,1.4139406573576707e-05,1.4139406573576707e-05,
2000-01-10,1.603967762520142e-05,1.6427721294514473e-05,1.624067001111078e-05,1.6002746079702874e-05,1.5173630600404185e-05,1.5004764186944062e-05,1.512856681687127e-05,1.4748824312786795e-05,1.4379927997888826e-05,1.3669251196413517e-05,1.342504128672803e-05,1.2950928022092969e-05,1.2762405284340938e-05,1.2911032160426808e-05,1.2594678008781558e-05,1.3202178109850138e-05,1.3202178109850138e-05,
2000-01-11,1.714005082575909e-05,1.7444398633777468e-05,1.717298725668209e-05,1.6948762860627994e-05,1.609157093042192e-05,1.5943283397367896e-05,1.610116177768677e-05,1.56715546786872e-05,1.5296967245106435e-05,1.4642286313435593e-05,1.4386738565865297e-05,1.3831925533006975e-05,1.358058083217822e-05,1.3640050521364817e-05,1.3260050498805262e-05,1.4377550527910898e-05,1.4377550527910898e-05,
