date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2000-01-01,91207.6266276042,81248.1712646484,81773.51640625,78313.8842369128,75844.1295239826,76250.3099966989,75577.7241883421,73628.2086139547,72510.1117758938,71190.7337554603,70894.1072212115,68460.6904069767,69454.0302124023,69668.7984459919,69731.6848307292,68388.611328125,68388.611328125,68388.611328125
2000-01-02,91207.6266276042,81248.1712646484,81773.51640625,78313.8842369128,75844.1295239826,76250.3099966989,75577.7241883421,73628.2086139547,72510.1117758938,71190.7337554603,70894.1072212115,68460.6904069767,69454.0302124023,69668.7984459919,69731.6848307292,68388.611328125,68388.611328125,68388.611328125
2000-01-03,91236.3419596354,81208.0032348633,81736.884765625,78255.9265712082,75774.0634720204,76182.3988707636,75506.5762712855,73546.9425680226,72422.960818095,71097.8069608955,70799.4671313142,68356.5820993823,69352.2379760742,69567.5069633152,69630.5399739583,68284.3349609375,68284.3349609375,68284.3349609375
2000-01-04,91245.3704427083,81197.4525146484,81727.315625,78238.8359748209,75751.9923101381,76161.5770108935,75485.1235497755,73520.6683054957,72393.7845720183,71067.0042055191,70767.6787912029,68323.4836255451,69317.3517456055,69532.234205163,69595.1540364583,68251.3662109375,68251.3662109375,68251.3662109375
2000-01-05,91201.5297851563,81199.7290039063,81727.1739453125,78248.3581869526,75763.961900436,76173.2598481514,75498.6741848335,73535.5948612608,72409.3066704763,71084.0553857947,70785.0123207406,68342.7874727471,69335.5269775391,69550.1654211957,69613.0138020833,68270.751953125,68270.751953125,68270.751953125
2000-01-06,91334.5812174479,81305.9617919922,81834.88015625,78348.3195598627,75858.5419331395,76268.4117104974,75591.5576347306,73625.0831088362,72497.0159235126,71168.0351352486,70868.6400096319,68418.5552325581,69416.3575439453,69632.0906080163,69695.2595052083,68346.15234375,68346.15234375,68346.15234375
2000-01-07,91346.9977213542,81288.0545654297,81818.6508203125,78321.0469931827,75821.8116142805,76232.8170939701,75552.7872438716,73579.7844827586,72448.1122961586,71112.9620190692,70812.8514956122,68349.5062454579,69355.2332763672,69572.6797299592,69636.3503255208,68276.5283203125,68276.5283203125,68276.5283203125
2000-01-08,91405.3600260417,81322.2211914063,81854.050859375,78350.5419237659,75849.0860056323,76259.9168683979,75578.5051693488,73604.3763806573,72472.1109230008,71134.9140047463,70834.8928590539,68365.8871048328,69375.9476928711,69594.3310971467,69658.2760416667,68292.5947265625,68292.5947265625,68292.5947265625
2000-01-09,91313.8235677083,81287.8102416992,81816.6253515625,78331.6651696855,75842.9671784157,76252.4778072733,75575.4908425337,73610.3468648976,72483.1334649632,71154.2355195733,70855.1430062072,68404.5954533067,69403.6653442383,69619.6724694294,69682.9216145833,68332.1005859375,68332.1005859375,68332.1005859375
2000-01-10,91266.6922200521,81218.8778686523,81748.8344140625,78267.0156436604,75787.1135265262,76193.4574232504,75515.3855959955,73560.1294282058,72439.049258836,71111.5380334341,70814.744729238,68361.4732240189,69369.1138305664,69586.9740149456,69650.7657552083,68288.3564453125,68288.3564453125,68288.3564453125
2000-01-11,91159.9261067708,81123.9837646484,81653.17421875,78176.5719794984,75703.6434638445,76110.236121809,75435.6918272829,73483.4689520474,72363.8392339315,71043.2625535534,70746.0429553724,68311.8126135538,69304.3198852539,69518.9081182065,69581.741796875,68239.7939453125,68239.7939453125,68239.7939453125
2000-01-12,91173.8561197917,81150.0064086914,81678.65640625,78196.5858815187,75711.5173419331,76119.3002379511,75442.0823996538,73481.0984476024,72356.3415367426,71027.4472918767,70729.609375,68274.4878043241,69280.0145263672,69497.4176715353,69561.0755859375,68201.5244140625,68201.5244140625,68201.5244140625
2000-01-13,91097.1204427083,81110.2000732422,81636.88734375,78168.848869178,75694.5957485465,76100.1643650968,75425.3340545472,73473.443595097,72353.9494874113,71030.0630985383,70733.8407935574,68286.2785247093,69290.522644043,69507.6484799592,69571.2251953125,68213.408203125,68213.408203125,68213.408203125
2000-01-14,91177.240234375,81084.7296142578,81617.155390625,78113.1643610669,75610.6388308503,76019.0198476012,75334.0143268151,73363.1404229526,72233.1859861149,70890.0141811576,70592.021765304,68101.1131222747,69132.5917358398,69355.6058933424,69420.9067708333,68026.2666015625,68026.2666015625,68026.2666015625
2000-01-15,91108.5001627604,80982.3412475586,81516.480703125,78005.4349186405,75502.2888353924,75911.7294853103,75226.8307973896,73254.2720063308,72123.3356560453,70781.8473989835,70482.9107314855,68000.2729151526,69023.5639038086,69244.8078294837,69309.5903645833,67926.0205078125,67926.0205078125,67926.0205078125
2000-01-16,91112.0073242187,80965.7174072266,81500.8019921875,77980.1609648686,75470.0872138445,75881.0085277289,75195.467562921,73216.1401198815,72081.0249940298,70736.9995694724,70436.8632411173,67950.368300327,68972.7935791016,69193.8503311821,69258.5780598958,67876.1787109375,67876.1787109375,67876.1787109375
