,min_value,max_value,min,max,mean,area,AreaBelowMElev
0,653.0,750.0,652.0,749.0,710.8286293993705,6051733.695397156,2894624.968990606
1,750.0,1000.0,748.0,999.0,888.0023994660437,46886659.08270955,28295536.44799494
2,1000.0,1250.0,997.0,1249.0,1132.7600279863395,86506928.60095035,95008234.75188683
3,1250.0,1500.0,1247.0,1499.0,1378.3394070956208,108576850.76410986,192696377.00436592
4,1500.0,1750.0,1484.0,1749.0,1626.0050100653546,127858830.01379251,311247630.7454107
5,1750.0,2000.0,1748.0,1999.0,1877.3221748082033,135893043.63039467,442628512.5863735
6,2000.0,2250.0,2000.0,2249.0,2127.052771951603,150066436.36935467,585383313.7621964
7,2250.0,2500.0,2248.0,2499.0,2375.669381569872,167877027.64677167,744906001.9533867
8,2500.0,2750.0,2496.0,2749.0,2618.633024406609,186265415.34101662,925854486.7908489
9,2750.0,3000.0,2725.0,2999.0,2861.4479686081204,120312964.91861665,1078528816.5196292
10,3000.0,3250.0,2984.0,3249.0,3098.105832893029,47786473.73974141,1162240874.9427927
11,3250.0,3500.0,3236.0,3499.0,3366.089624006145,15631827.802032517,1191989870.6611705
12,3500.0,3750.0,3500.0,3749.0,3599.6187867148665,5519437.849383976,1202670792.728777
13,3750.0,4000.0,3750.0,3999.0,3829.6200335758253,832635.9904219415,1205260595.471253
14,4000.0,4086.0,4001.0,4086.0,4040.7727272727275,6859.555302782803,1205929788.938546
