,CAUDAL (M3/SEG)MEDIA
2020-04-01,7.74
2020-04-02,7.35
2020-04-03,7.14
2020-04-04,6.72
2020-04-05,6.79
2020-04-06,6.43
2020-04-07,6.66
2020-04-08,6.97
2020-04-09,6.89
2020-04-10,7.03
2020-04-11,7.21
2020-04-12,7.55
2020-04-13,8.05
2020-04-14,8.1
2020-04-15,8.6
2020-04-16,8.66
2020-04-17,8.65
2020-04-18,8.5
2020-04-19,8.5
2020-04-20,8.24
2020-04-21,7.81
2020-04-22,7.72
2020-04-23,7.74
2020-04-24,8.57
2020-04-25,8.91
2020-04-26,8.3
2020-04-27,8.25
2020-04-28,8.69
2020-04-29,8.17
2020-04-30,8.02
2020-05-01,7.89
2020-05-02,7.97
2020-05-03,8.02
2020-05-04,8.06
2020-05-05,7.88
2020-05-06,7.83
2020-05-07,7.72
2020-05-08,7.6
2020-05-09,7.67
2020-05-10,7.61
2020-05-11,7.6
2020-05-12,7.67
2020-05-13,7.46
2020-05-14,7.81
2020-05-15,7.81
2020-05-16,7.74
2020-05-17,7.71
2020-05-18,7.69
2020-05-19,7.68
2020-05-20,8.85
2020-05-21,7.91
2020-05-22,8.13
2020-05-23,8.28
2020-05-24,8.66
2020-05-25,8.84
2020-05-26,8.8
2020-05-27,8.63
2020-05-28,8.72
2020-05-29,14.6
2020-05-30,14.8
2020-05-31,11.3
2020-06-01,10.8
2020-06-02,10.4
2020-06-03,9.68
2020-06-04,3.72
2020-06-05,3.4
2020-06-06,3.19
2020-06-07,3.2
2020-06-08,3.21
2020-06-09,3.22
2020-06-10,3.23
2020-06-11,4.13
2020-06-12,10.4
2020-06-13,6.18
2020-06-14,9.9
2020-06-15,9.66
2020-06-16,9.74
2020-06-17,11.1
2020-06-18,10.9
2020-06-19,17.8
2020-06-20,16.2
2020-06-21,15.5
2020-06-22,14.9
2020-06-23,17.6
2020-06-24,14.4
2020-06-25,8.67
2020-06-26,7.39
2020-06-27,7.63
2020-06-28,9.96
2020-06-29,25.2
2020-06-30,24.1
2020-07-01,20.3
2020-07-02,17.5
2020-07-03,21.4
2020-07-04,60.9
2020-07-05,42.9
2020-07-06,34.1
2020-07-07,27.8
2020-07-08,27.6
2020-07-09,23.2
2020-07-10,30.5
2020-07-11,30.2
2020-07-12,24.8
2020-07-13,24.1
2020-07-14,23.3
2020-07-15,22.2
2020-07-16,21.5
2020-07-17,24.9
2020-07-18,94.3
2020-07-19,94.9
2020-07-20,66.7
2020-07-21,57.1
2020-07-22,46.0
2020-07-23,39.9
2020-07-24,35.3
2020-07-25,31.4
2020-07-26,29.3
2020-07-27,28.5
2020-07-28,26.2
2020-07-29,25.2
2020-07-30,24.4
2020-07-31,23.3
2020-08-01,23.3
2020-08-02,22.7
2020-08-03,23.6
2020-08-04,24.5
2020-08-05,48.9
2020-08-06,45.4
2020-08-07,38.6
2020-08-08,36.2
2020-08-09,36.2
2020-08-10,33.1
2020-08-11,30.3
2020-08-12,28.6
2020-08-13,27.1
2020-08-14,26.5
2020-08-15,24.5
2020-08-16,23.4
2020-08-17,22.7
2020-08-18,22.3
2020-08-19,21.2
2020-08-20,20.6
2020-08-21,20.7
2020-08-22,21.1
2020-08-23,21.9
2020-08-24,21.4
2020-08-25,21.1
2020-08-26,22.1
2020-08-27,19.5
2020-08-28,19.0
2020-08-29,19.8
2020-08-30,17.9
2020-08-31,17.2
2020-09-01,17.1
2020-09-02,17.1
2020-09-03,18.1
2020-09-04,17.9
2020-09-05,17.7
2020-09-06,17.1
2020-09-07,16.5
2020-09-08,15.2
2020-09-09,17.4
2020-09-10,15.0
2020-09-11,15.1
2020-09-12,13.3
2020-09-13,13.4
2020-09-14,14.0
2020-09-15,19.9
2020-09-16,25.0
2020-09-17,28.0
2020-09-18,30.7
2020-09-19,31.2
2020-09-20,32.1
2020-09-21,34.4
2020-09-22,35.2
2020-09-23,33.8
2020-09-24,35.3
2020-09-25,36.6
2020-09-26,37.0
2020-09-27,33.1
2020-09-28,32.2
2020-09-29,31.1
2020-09-30,28.9
2020-10-01,25.9
2020-10-02,23.8
2020-10-03,23.1
2020-10-04,23.2
2020-10-05,24.2
2020-10-06,27.0
2020-10-07,27.5
2020-10-08,30.0
2020-10-09,31.6
2020-10-10,36.8
2020-10-11,39.2
2020-10-12,41.0
2020-10-13,46.3
2020-10-14,54.5
2020-10-15,64.4
2020-10-16,74.0
2020-10-17,78.2
2020-10-18,74.3
2020-10-19,65.2
2020-10-20,60.4
2020-10-21,65.5
2020-10-22,67.6
2020-10-23,68.5
2020-10-24,72.2
2020-10-25,73.5
2020-10-26,64.7
2020-10-27,62.7
2020-10-28,49.2
2020-10-29,47.7
2020-10-30,49.9
2020-10-31,57.5
2020-11-01,66.0
2020-11-02,71.6
2020-11-03,75.5
2020-11-04,78.0
2020-11-05,82.9
2020-11-06,80.1
2020-11-07,81.9
2020-11-08,83.6
2020-11-09,84.9
2020-11-10,83.6
2020-11-11,86.4
2020-11-12,85.5
2020-11-13,80.1
2020-11-14,71.5
2020-11-15,68.0
2020-11-16,67.5
2020-11-17,69.6
2020-11-18,70.9
2020-11-19,78.7
2020-11-20,75.8
2020-11-21,68.1
2020-11-22,65.0
2020-11-23,69.5
2020-11-24,71.7
2020-11-25,67.3
2020-11-26,64.9
2020-11-27,64.8
2020-11-28,66.3
2020-11-29,67.7
2020-11-30,65.6
2020-12-01,64.3
2020-12-02,60.2
2020-12-03,57.1
2020-12-04,55.3
2020-12-05,56.8
2020-12-06,57.6
2020-12-07,57.5
2020-12-08,57.3
2020-12-09,54.0
2020-12-10,51.5
2020-12-11,44.1
2020-12-12,43.0
2020-12-13,43.5
2020-12-14,41.3
2020-12-15,38.7
2020-12-16,40.9
2020-12-17,43.0
2020-12-18,43.3
2020-12-19,36.0
2020-12-20,33.4
2020-12-21,35.4
2020-12-22,37.1
2020-12-23,37.6
2020-12-24,36.6
2020-12-25,35.2
2020-12-26,35.5
2020-12-27,35.7
2020-12-28,34.6
2020-12-29,32.1
2020-12-30,28.5
2020-12-31,27.3
2021-01-01,28.1
2021-01-02,29.8
2021-01-03,28.3
2021-01-04,26.7
2021-01-05,25.7
2021-01-06,24.3
2021-01-07,24.0
2021-01-08,23.1
2021-01-09,21.1
2021-01-10,21.5
2021-01-11,21.1
2021-01-12,20.6
2021-01-13,21.2
2021-01-14,19.9
2021-01-15,17.2
2021-01-16,16.4
