date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2000-01-01,2.25809713683134E-05,2.25809713683134E-05,1.70495427972079E-05,1.66944848821707E-05,1.34321908810429E-05,1.21041621651099E-05,1.1329835012047E-05,9.24937019339922E-06,8.20811968016422E-06,7.18097119071596E-06,1.0201163663536E-05,1.04809713690202E-05,1.04809713690202E-05,1.04809713690202E-05,1.04809713690202E-05
2000-01-02,2.25809713683134E-05,2.25809713683134E-05,1.70495427972079E-05,1.66944848821707E-05,1.34321908810429E-05,1.21041621651099E-05,1.1329835012047E-05,9.24937019339922E-06,8.20811968016422E-06,7.18097119071596E-06,1.0201163663536E-05,1.04809713690202E-05,1.04809713690202E-05,1.04809713690202E-05,1.04809713690202E-05
2000-01-03,1.70594852590966E-05,1.70594852590966E-05,1.34594852032218E-05,1.32284041185542E-05,1.11052168739988E-05,1.0253728560964E-05,9.87690935024451E-06,8.52985022647593E-06,7.85030533823061E-06,7.27198497448474E-06,9.03160050733312E-06,9.18448513687054E-06,9.18448513687054E-06,9.18448513687054E-06,9.18448513687054E-06
2000-01-04,2.08581312790557E-05,2.08581312790557E-05,1.69838454017476E-05,1.67351581325961E-05,1.44502041801544E-05,1.35125717707527E-05,1.29882446437295E-05,1.16505467454527E-05,1.09909435410671E-05,1.03747977675539E-05,1.22177463245302E-05,1.23831309224443E-05,1.23831309224443E-05,1.23831309224443E-05,1.23831309224443E-05
2000-01-05,2.12603526925648E-05,2.12603526925648E-05,1.70774954163733E-05,1.68090011993204E-05,1.43420597891078E-05,1.33473590208859E-05,1.27794812300085E-05,1.11683581060538E-05,1.03824228654403E-05,9.59368595469338E-06,1.18940062656328E-05,1.21103524008959E-05,1.21103524008959E-05,1.21103524008959E-05,1.21103524008959E-05
2000-01-06,2.20629229161773E-05,2.20629229161773E-05,1.74686371985493E-05,1.71737337234313E-05,1.44641424228445E-05,1.33757518595626E-05,1.27297789932311E-05,1.09139060204248E-05,1.00107744498423E-05,9.09208953222181E-06,1.17600382852655E-05,1.20129229088661E-05,1.20129229088661E-05,1.20129229088661E-05,1.20129229088661E-05
2000-01-07,2.3094104850685E-05,2.3094104850685E-05,1.86083906558768E-05,1.83204562987776E-05,1.56748976839672E-05,1.45998616036579E-05,1.3871567154085E-05,1.20803409815088E-05,1.12056284659046E-05,1.02316050127153E-05,1.30094896594922E-05,1.32816050495421E-05,1.32816050495421E-05,1.32816050495421E-05,1.32816050495421E-05
2000-01-08,2.35730263682399E-05,2.35730263682399E-05,2.0035883576546E-05,1.98088372487008E-05,1.77227215984414E-05,1.68817435904151E-05,1.6346890053681E-05,1.48661442949241E-05,1.39757604802337E-05,1.31521926078904E-05,1.56143726242747E-05,1.58355265114096E-05,1.58355265114096E-05,1.58355265114096E-05,1.58355265114096E-05
2000-01-09,2.38019061491457E-05,2.38019061491457E-05,1.96933346786514E-05,1.94296088072346E-05,1.70064792505386E-05,1.60542087145157E-05,1.54000122109078E-05,1.36430579107319E-05,1.24940938610596E-05,1.14727398236406E-05,1.4541329168065E-05,1.48144060574396E-05,1.48144060574396E-05,1.48144060574396E-05,1.48144060574396E-05
2000-01-10,2.45021782347976E-05,2.45021782347976E-05,1.95764638614751E-05,1.9260286249674E-05,1.63552268703847E-05,1.52135267637956E-05,1.44637311231771E-05,1.25513353297906E-05,1.13928029539245E-05,1.03605112566167E-05,1.34502549597161E-05,1.37271780431547E-05,1.37271780431547E-05,1.37271780431547E-05,1.37271780431547E-05
