date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2000-01-01,2.5503471173014E-05,2.5503471173014E-05,2.05089711008846E-05,1.99952505479575E-05,1.81042117214731E-05,1.6892850945229E-05,1.5814454978346E-05,1.34046284673485E-05,1.22220125979633E-05,1.03882768512976E-05,8.25266932467011E-06,7.85597117669568E-06,1.06184712649338E-05,1.06184712649338E-05,1.06184712649338E-05
2000-01-02,2.5503471173014E-05,2.5503471173014E-05,2.05089711008846E-05,1.99952505479575E-05,1.81042117214731E-05,1.6892850945229E-05,1.5814454978346E-05,1.34046284673485E-05,1.22220125979633E-05,1.03882768512976E-05,8.25266932467011E-06,7.85597117669568E-06,1.06184712649338E-05,1.06184712649338E-05,1.06184712649338E-05
2000-01-03,1.87424851727158E-05,1.87424851727158E-05,1.53835851747957E-05,1.50732306825487E-05,1.37652769088761E-05,1.29357568103348E-05,1.21949232339999E-05,1.05320956597083E-05,9.77024309908295E-06,8.63173708011493E-06,7.38094724928239E-06,7.42198501768598E-06,8.93448518013429E-06,8.93448518013429E-06,8.93448518013429E-06
2000-01-04,2.32366310163456E-05,2.32366310163456E-05,1.895743103222E-05,1.84520367487965E-05,1.70720240164812E-05,1.6066071490712E-05,1.53032555956757E-05,1.34616459978595E-05,1.27187550055873E-05,1.16147328545201E-05,1.02956309725727E-05,1.06581310035381E-05,1.22831311557547E-05,1.22831311557547E-05,1.22831311557547E-05
2000-01-05,2.39576024060284E-05,2.39576024060284E-05,1.97172524180473E-05,1.93658239427074E-05,1.79180871088489E-05,1.70155324180111E-05,1.63023413457797E-05,1.45091676969979E-05,1.36470293934543E-05,1.23138043071087E-05,1.05752110290539E-05,1.01853525791284E-05,1.2360352755536E-05,1.2360352755536E-05,1.2360352755536E-05
2000-01-06,2.48884229027624E-05,2.48884229027624E-05,2.05097228470805E-05,2.02396132917402E-05,1.87075343189508E-05,1.78199018020638E-05,1.71116342322974E-05,1.52686496277118E-05,1.42997912747394E-05,1.27629230454998E-05,1.06803758322425E-05,9.82542299254874E-06,1.24629229816264E-05,1.24629229816264E-05,1.24629229816264E-05
2000-01-07,2.51873547988879E-05,2.51873547988879E-05,2.12901048991796E-05,2.10832952078262E-05,1.96072279438053E-05,1.88118777038837E-05,1.82506769175569E-05,1.67229753151171E-05,1.59699854667832E-05,1.46342859840261E-05,1.25403315815087E-05,1.12066050803605E-05,1.41066048371385E-05,1.41066048371385E-05,1.41066048371385E-05
2000-01-08,2.47050261684478E-05,2.47050261684478E-05,2.09226262261382E-05,2.0503008448099E-05,1.92155116169527E-05,1.83922570596975E-05,1.78500237234562E-05,1.64206566283311E-05,1.59391824934045E-05,1.5024701839086E-05,1.38501488118839E-05,1.35355258663594E-05,1.53605262198653E-05,1.53605262198653E-05,1.53605262198653E-05
2000-01-09,2.57761565643477E-05,2.57761565643477E-05,2.15484065806351E-05,2.11402516769252E-05,1.96257701135938E-05,1.86786124275509E-05,1.79646856657385E-05,1.60997737846759E-05,1.53471400896552E-05,1.3933541988816E-05,1.24228972202042E-05,1.18894064797814E-05,1.41894068548254E-05,1.41894068548254E-05,1.41894068548254E-05
2000-01-10,2.62254281542873E-05,2.62254281542873E-05,2.19786781561879E-05,2.16504432087006E-05,1.99263716965453E-05,1.89597463904108E-05,1.81408594142689E-05,1.60864198620503E-05,1.51482730835528E-05,1.34206767387179E-05,1.16479327428089E-05,1.08271778529456E-05,1.33521783141077E-05,1.33521783141077E-05,1.33521783141077E-05
2000-01-11,2.49220505539327E-05,2.49220505539327E-05,2.08953504923173E-05,2.0512514952611E-05,1.88385843384439E-05,1.7904876941355E-05,1.71273788386339E-05,1.51969622085668E-05,1.43569725801037E-05,1.26874032332123E-05,1.1133446771767E-05,1.03400505224727E-05,1.26025507398708E-05,1.26025507398708E-05,1.26025507398708E-05
2000-01-12,2.05163349220427E-05,2.05163349220427E-05,1.68169849305784E-05,1.62521115120751E-05,1.47641302807273E-05,1.38849260069744E-05,1.31752849967269E-05,1.15444189923377E-05,1.09039570317365E-05,9.46441061631365E-06,8.03765085804099E-06,7.42208480630779E-06,9.69708494835686E-06,9.69708494835686E-06,9.69708494835686E-06
2000-01-13,2.16958805438594E-05,2.16958805438594E-05,1.7897180453609E-05,1.75336223822383E-05,1.58278392766104E-05,1.48875589906989E-05,1.40145160510939E-05,1.20123874511034E-05,1.11148259683851E-05,9.4314541215222E-06,7.94864459394611E-06,7.29888035522208E-06,9.47388040373198E-06,9.47388040373198E-06,9.47388040373198E-06
2000-01-14,2.03593695733772E-05,2.03593695733772E-05,1.66248696186599E-05,1.62590635097968E-05,1.47091246975202E-05,1.38546722635334E-05,1.30932964755107E-05,1.12914618955493E-05,1.04904100253956E-05,8.96080909171624E-06,7.52247316412723E-06,6.86586948006607E-06,9.0658694844592E-06,9.0658694844592E-06,9.0658694844592E-06
2000-01-15,1.64900570132431E-05,1.64900570132431E-05,1.38941569425697E-05,1.34266281431662E-05,1.23305012887309E-05,1.166339942499E-05,1.11537090581849E-05,9.98970468065371E-06,9.68514807115365E-06,8.81632908615299E-06,8.21613250759304E-06,8.13405711852511E-06,9.38405703010403E-06,9.38405703010403E-06,9.38405703010403E-06
2000-01-16,2.00202210296396E-05,2.00202210296396E-05,1.67052210914562E-05,1.59186998024873E-05,1.46047812811887E-05,1.36595015738846E-05,1.30107409053911E-05,1.15517061017967E-05,1.12931613593494E-05,1.03157103847461E-05,9.95357011859978E-06,1.01177211533354E-05,1.12552211604111E-05,1.12552211604111E-05,1.12552211604111E-05
2000-01-17,2.14433870653252E-05,2.14433870653252E-05,1.78588370633932E-05,1.72702686431406E-05,1.58800181538893E-05,1.49588614853315E-05,1.4240607708786E-05,1.25335903564409E-05,1.20535305441453E-05,1.08681155478073E-05,1.0080155947245E-05,1.00596370202766E-05,1.18221368978766E-05,1.18221368978766E-05,1.18221368978766E-05
2000-01-18,2.35301180985559E-05,2.35301180985559E-05,1.9535268261663E-05,1.90185249252718E-05,1.73159388507614E-05,1.62907245896787E-05,1.53999501162998E-05,1.33455082723952E-05,1.25992022690627E-05,1.10427705272396E-05,9.94449101092028E-06,9.6298685008378E-06,1.16298685384209E-05,1.16298685384209E-05,1.16298685384209E-05
2000-01-19,2.37232264577003E-05,2.37232264577003E-05,1.97303264559103E-05,1.92325217744212E-05,1.74390826033532E-05,1.64062126250086E-05,1.54845904951731E-05,1.34047286270606E-05,1.26030593662954E-05,1.09592410817118E-05,9.85612247515257E-06,9.42522621016906E-06,1.12627263888498E-05,1.12627263888498E-05,1.12627263888498E-05
2000-01-20,2.12254639143694E-05,2.12254639143694E-05,1.74564139397617E-05,1.69153936758889E-05,1.52566523913628E-05,1.42915328216583E-05,1.34349064041826E-05,1.15457376474175E-05,1.08400708093708E-05,9.32541236958754E-06,8.22807251980888E-06,7.83821412042585E-06,9.73821404670616E-06,9.73821404670616E-06,9.73821404670616E-06
2000-01-21,1.93537332873461E-05,1.93537332873461E-05,1.56800831660391E-05,1.51302910627891E-05,1.35769451428659E-05,1.26404038844169E-05,1.18219773081667E-05,1.00233198178243E-05,9.36388382806444E-06,7.97215365688269E-06,6.95756834746688E-06,6.68398345027299E-06,8.50898347692919E-06,8.50898347692919E-06,8.50898347692919E-06
2000-01-22,1.98062552808764E-05,1.98062552808764E-05,1.61078551549352E-05,1.56255576571331E-05,1.40334223979592E-05,1.31160244821895E-05,1.22884339467858E-05,1.04432528759933E-05,9.7070009973087E-06,8.22476592035328E-06,7.07393442693939E-06,6.6977551398395E-06,8.6102551648537E-06,8.6102551648537E-06,8.6102551648537E-06
2000-01-23,1.95992822896951E-05,1.95992822896951E-05,1.56996322686425E-05,1.51723649858638E-05,1.34675336864608E-05,1.24695582681518E-05,1.15679205475662E-05,9.6198134519018E-06,8.82345337778612E-06,7.28978826714829E-06,6.2367114214837E-06,5.86053209161719E-06,7.53553213428404E-06,7.53553213428404E-06,7.53553213428404E-06
2000-01-24,2.1324359179431E-05,2.1324359179431E-05,1.7214109192011E-05,1.67198440149046E-05,1.47989743206232E-05,1.37207147150234E-05,1.27061891845531E-05,1.05358423420633E-05,9.60725556519131E-06,7.85306240591528E-06,6.64924136453641E-06,6.14310933855222E-06,7.89310936966103E-06,7.89310936966103E-06,7.89310936966103E-06
2000-01-25,2.16454295083324E-05,2.16454295083324E-05,1.75631794528002E-05,1.71056918299745E-05,1.51041426818408E-05,1.40262016346219E-05,1.29875985305018E-05,1.07900204998825E-05,9.81375043309205E-06,7.99449419090476E-06,6.80040559451677E-06,6.1916793185901E-06,7.80417907719766E-06,7.80417907719766E-06,7.80417907719766E-06
2000-01-26,2.19123239113372E-05,2.19123239113372E-05,1.77560239443864E-05,1.73501727263799E-05,1.52726700756405E-05,1.41536367231284E-05,1.30640955560253E-05,1.07744314975898E-05,9.71758669667426E-06,7.8488762849724E-06,6.73612586704724E-06,6.04532391434987E-06,7.43282397763778E-06,7.43282397763778E-06,7.43282397763778E-06
2000-01-27,1.99964868731328E-05,1.99964868731328E-05,1.61935367972674E-05,1.57859075676721E-05,1.39176003388876E-05,1.29686125883041E-05,1.20860905940841E-05,1.02584878136288E-05,9.39603370702564E-06,7.82379691683283E-06,6.96095350846536E-06,6.18123671358717E-06,7.06873655076379E-06,7.06873655076379E-06,7.06873655076379E-06
2000-01-28,1.5218038733309E-05,1.5218038733309E-05,1.21124387259215E-05,1.14317611981107E-05,1.00121472920758E-05,9.21447924617653E-06,8.57902591089119E-06,7.37683894618833E-06,6.9596207120824E-06,5.86347578071544E-06,5.31479352697209E-06,4.85653873028014E-06,5.61903872409175E-06,5.61903872409175E-06,5.61903872409175E-06
2000-01-29,1.45218899268684E-05,1.45218899268684E-05,1.1326289850075E-05,1.06322190635249E-05,9.28908933279415E-06,8.49951399776643E-06,7.93396898415548E-06,6.87397523610857E-06,6.5106073710312E-06,5.61678268791886E-06,5.45835221925178E-06,5.13689004222329E-06,5.08688990663586E-06,5.08688990663586E-06,5.08688990663586E-06
2000-01-30,1.53436269305462E-05,1.53436269305462E-05,1.21068269148807E-05,1.15778475606091E-05,1.01299200959494E-05,9.35152506059483E-06,8.70277967774199E-06,7.43367491354509E-06,6.89237558674841E-06,5.80469378007934E-06,5.31052298963953E-06,4.87962677908627E-06,5.27962676599714E-06,5.27962676599714E-06,5.27962676599714E-06
