,min_value,max_value,min,max,mean,area,AreaBelowMElev
0,469.0,500.0,469.0,499.0,488.0415094339623,1349769.0989160251,1669405.3450577962
1,500.0,750.0,500.0,749.0,650.5056238749088,74294142.56028041,34541582.677002266
2,750.0,1000.0,750.0,999.0,885.8481342820862,152661198.4149152,148464925.17632332
3,1000.0,1250.0,1000.0,1249.0,1138.7600348350957,299067683.04114723,368754368.57183754
4,1250.0,1500.0,1250.0,1499.0,1377.100125131881,453977431.8260915,748896530.5682569
5,1500.0,1750.0,1500.0,1749.0,1630.1957528907506,567111447.8072479,1259974147.0474558
6,1750.0,2000.0,1750.0,1999.0,1880.0371933488502,721912812.7562982,1898733942.8059661
7,2000.0,2250.0,2000.0,2249.0,2131.2469724963526,981398058.2512231,2728793670.191242
8,2250.0,2500.0,2250.0,2499.0,2372.005952690103,971575777.0710963,3743606123.9521832
9,2500.0,2750.0,2500.0,2749.0,2613.235407033545,776333169.2257633,4631985360.802977
10,2750.0,3000.0,2750.0,2999.0,2851.929980796138,360232126.0659671,5196811789.093412
11,3000.0,3250.0,3000.0,3249.0,3088.1977975835243,87148392.26734237,5409363527.293569
12,3250.0,3500.0,3250.0,3499.0,3348.491622722703,17656471.882225797,5456406914.960522
13,3500.0,3750.0,3500.0,3749.0,3595.3606507059544,4061074.987201927,5466442769.749613
14,3750.0,3955.0,3750.0,3955.0,3834.7193873950173,2210132.2442611116,5469468980.5652485
